size insertionsort  quicksort  mergesort heapsort
100 24374 16637 31144 32762
200 42091 17946 32060 34508
300 58820 17804 31388 35204
400 98603 25242 42834 50033
500 139624 30424 51198 63451
600 196085 36862 62490 77395
700 263803 43569 73614 91855
800 355641 52909 88297 118526
900 443647 58931 96944 129925
1000 539171 65804 110275 148773
1100 689904 75720 128053 175170
1200 808850 84099 138168 191497
1300 1000591 94649 155703 218228
1400 1058585 96977 160183 219198
1500 1187459 102803 169884 233376
1600 1385280 113866 185337 253705
1700 1523615 120442 193940 273663
1800 1753145 127340 203960 289357
1900 1982506 137279 222125 314251
2000 2100217 143960 232683 330391
2100 2356731 153275 248181 352501
2200 2555927 160326 260419 381309
2300 2808273 167420 267576 383574
2400 3029914 175318 284301 415445
2500 3265586 182858 296471 430896
2600 3568173 196099 314218 450764
2700 3835111 202635 329002 475970
2800 4112778 208873 337944 472111
2900 4425013 222727 359454 515557
3000 4723614 228345 364736 517631
3100 5072628 234805 378150 552004
3200 5359040 242336 393849 564516
3300 5689510 254451 409960 592727
3400 6634749 279491 445369 665818
3500 8637029 362889 597624 874465
3600 8196004 337705 529474 775963
3700 7613189 304897 492326 709451
3800 9014688 353261 557026 794679
3900 9226306 354382 562527 841158
4000 9731152 372998 600609 895151
4100 9576242 335488 529832 800264
4200 11320756 393564 638158 927437
4300 11858923 429882 670977 991474
4400 11547977 398714 640808 910493
4500 10653349 356762 566240 835022
4600 11231191 368635 587548 865727
4700 11564313 375653 598607 853043
4800 12047520 385553 615876 906070
4900 12538089 392707 621983 931173
5000 13092593 399789 637494 948908
5100 13665751 412975 649195 958441
5200 14191369 418076 658951 968709
5300 14658220 428719 686024 1004354
5400 15297422 438236 710204 1017088
5500 15872989 444790 717461 1044858
5600 16335999 457263 730920 1054470
5700 16900728 463654 736758 1085944
5800 17565593 471188 753348 1113660
5900 18238135 486025 766303 1114157
6000 18955525 492065 779578 1143638
6100 19577466 498478 788527 1195467
6200 20271510 511191 803484 1198727
6300 25607412 619372 1019736 1524746
6400 23305618 569396 899757 1333189
6500 25133322 600799 945585 1411762
6600 23187967 553792 872208 1293977
6700 24616883 572962 905202 1315322
6800 27557940 645130 997693 1475737
6900 26662192 601948 959333 1423731
7000 29996131 680254 1066321 1567615
7100 29007994 650317 1023361 1510742
7200 30360761 681758 1060353 1542044
7300 31429552 710217 1128255 1601560
7400 30548370 645503 1042320 1547271
7500 30506374 648013 1007601 1508071
7600 31400561 661446 1040736 1532417
7700 31288781 650617 1019136 1527472
7800 34592666 717032 1126885 1670460
7900 36176185 718889 1159426 1739155
8000 41275827 823998 1304084 1957541
8100 42537617 841742 1391967 2088326
8200 42533254 846243 1294273 1879693
8300 43353946 856642 1347389 1978477
8400 44762780 844211 1371366 2037139
8500 49199724 918376 1492329 2257559
8600 46094179 875007 1379394 2106006
8700 49603898 946859 1477216 2257953
8800 57076948 1066153 1670689 2444145
8900 48659762 889611 1400032 2063526
9000 52284096 948020 1491329 2244689
9100 59648166 1095572 1738791 2591185
9200 54408014 952113 1491912 2263116
9300 55339123 990325 1541363 2268040
9400 61842000 1067391 1682359 2572558
9500 59457994 1031919 1665454 2434925
9600 56301437 992289 1534562 2270132
9700 53159478 902771 1431564 2056558
9800 58054654 949182 1542265 2314786
9900 62097181 1031194 1645246 2455685
