size insertionsort  quicksort  mergesort heapsort hybrid
100 9275 7837 14499 15107 6539
200 26143 13513 23298 25943 12166
300 58910 23610 35266 40634 19605
400 82850 25299 42214 53539 24365
500 123213 31658 53976 64458 29109
600 206389 44635 76771 96858 41011
700 236891 46908 78240 103063 42775
800 319127 56180 93994 123115 51330
900 409628 66453 101916 138113 57150
1000 474609 69444 110646 150416 62321
1100 657231 83339 136072 196083 77189
1200 721918 90891 143442 200614 80006
1300 919475 102923 166555 228949 92646
1400 908644 100188 159713 226286 92495
1500 1048113 108311 172883 249935 102494
1600 1356719 127350 209729 305632 123766
1700 1719269 150945 241820 360264 143414
1800 1715148 151897 245497 348238 139548
1900 2317044 189325 309270 449261 181666
2000 2194405 178755 276297 392669 161982
2100 2110107 162252 256452 368135 149215
2200 2265672 172369 266826 382856 156104
2300 3127978 226556 356978 522398 225666
2400 3490817 245825 390097 529638 219730
2500 3321164 219902 346578 517928 207579
2600 3748250 245709 394171 547518 232415
2700 3812486 245668 378463 555926 223231
2800 3891389 234964 364885 541357 216443
2900 4639244 273342 427653 659763 256741
3000 5523571 305755 484187 723641 291688
3100 4927695 280794 441451 646226 269898
3200 5540958 292893 455461 668071 285637
3300 5388270 289768 457402 679752 267055
3400 5803246 300538 470570 687459 281352
3500 6812982 342619 535521 793948 326754
3600 6618875 321072 509224 744505 301897
3700 6282630 304852 473957 727664 286263
3800 6572250 304648 470659 703326 285555
3900 7038243 323958 500103 758904 308633
4000 7353445 328107 511642 770894 313513
4100 7862995 344973 529918 808310 322160
4200 8219812 357789 548961 817728 332982
4300 9540059 405029 638461 927942 378429
4400 8987011 371945 579153 850896 346128
4500 9481587 389694 606174 898961 370222
4600 10014615 408169 625285 915843 370032
4700 11253271 432764 672965 979235 406008
4800 10771331 413175 641434 944201 385985
4900 11198798 418971 651352 966442 400582
5000 11780502 446982 678745 998634 417750
5100 12748303 464441 717799 1084321 438062
5200 12389362 440795 676230 1032023 419180
5300 12974060 446852 702195 1045787 427099
5400 14374685 504768 767111 1135928 471753
5500 13875814 472378 729527 1074856 440965
5600 14485920 482978 758675 1116498 459430
5700 16102536 525901 832476 1234982 493908
5800 15673488 517822 804761 1176810 480517
5900 17280827 566867 866324 1306388 522582
6000 16999434 543873 829781 1237732 511504
6100 17252980 541856 840808 1251665 504029
6200 18549952 570841 868176 1306071 535507
6300 18154693 546052 844376 1292947 518917
6400 19791423 585986 919265 1352811 548555
6500 21822247 638162 995418 1483254 599042
6600 19685529 565713 866388 1304846 536323
6700 20236254 575141 887814 1356024 550529
6800 20890418 587805 900565 1365313 561807
6900 21437806 594300 915105 1369978 568956
7000 22084138 607360 932292 1429780 577509
7100 22682264 619945 935498 1428720 578837
7200 23521220 626650 948787 1444651 595860
7300 24063721 641378 969434 1458307 600524
7400 24694379 648462 990229 1494537 617213
7500 25363564 659262 1001582 1516328 617469
7600 32810199 860726 1302512 1987391 800934
7700 31360294 787702 1213837 1845615 754397
7800 31763338 762105 1212896 1856554 739777
7900 32109578 795600 1197865 1849014 736313
8000 39740818 994634 1477680 2264084 918129
8100 34338001 799529 1234345 1906209 796816
8200 30640013 724713 1100682 1699748 688820
8300 32129061 755208 1164302 1746521 713304
8400 33293361 769386 1194040 1788426 734847
8500 33567984 770794 1198201 1803029 731356
8600 33784073 774136 1191299 1773012 736047
8700 35853576 804847 1244512 1882474 765894
8800 36096561 793108 1218669 1850117 759971
8900 36977994 824286 1275667 1935082 781900
9000 37463873 823709 1250849 1922307 773075
9100 37756995 829248 1254276 1898890 797856
9200 39142271 852908 1292688 1957757 809543
9300 40216067 859628 1306530 1998512 810908
9400 41031966 865241 1347216 2020604 810078
9500 41616876 867285 1333184 2033237 832664
9600 42425002 878829 1351860 2039859 840172
9700 43567322 908461 1395215 2042815 846804
9800 44263918 906026 1413314 2100811 854403
9900 45167433 923577 1416036 2142435 857461
