size insertionsort  quicksort  mergesort heapsort
100 10514 8465 14816 15300
200 26181 13785 23730 28268
300 53388 19744 33455 40738
400 81692 25275 44425 53364
500 122993 31873 51956 65137
600 206094 44661 73014 92690
700 234953 46716 75928 99673
800 316315 56847 90683 123690
900 394640 62682 98872 128887
1000 481273 70126 111047 151442
1100 585504 78395 122859 169504
1200 713365 86807 138298 191445
1300 871244 96748 156541 224436
1400 900936 99503 159526 227380
1500 1035422 106946 169419 236483
1600 1258854 121809 199186 282625
1700 1324405 123122 195704 275263
1800 1492734 132279 205144 297016
1900 1671928 141717 222597 322742
2000 1846173 152209 235914 352482
2100 2088712 163457 260013 365223
2200 2199484 166507 261914 383782
2300 2524236 182670 286910 425147
2400 2863447 196837 315435 456062
2500 2849548 193705 302960 455998
2600 3112587 204121 321084 467361
2700 3332428 213044 337967 483441
2800 3598487 220856 347288 502570
2900 3856990 229870 362257 524756
3000 4130101 233422 364530 552835
3100 4389749 251564 386649 564020
3200 4669278 255012 399650 595699
3300 4934546 261761 410788 610111
3400 5246022 270946 418283 619672
3500 5566326 282801 435068 650965
3600 5866155 293872 443866 676338
3700 6228960 301819 464756 706269
3800 6546041 315181 478800 705106
3900 6890685 320656 493679 727254
4000 7265193 330064 503292 754521
4100 7622734 338507 517749 765413
4200 7975168 344010 527180 788460
4300 8349011 355750 550937 829075
4400 8780891 364614 568519 825927
4500 11257719 451286 715257 1053037
4600 11998571 469727 720221 1063170
4700 12305533 467374 726760 1086139
4800 14030106 522437 809799 1196527
4900 12532568 480121 731554 1080591
5000 13749385 481763 760401 1141221
5100 13757380 487390 768846 1126315
5200 15554807 561739 869902 1278076
5300 14448885 511530 801106 1189242
5400 16983292 572053 903105 1337331
5500 19062254 648044 1002216 1490199
5600 16350938 547515 835541 1256628
5700 17331467 572039 865261 1312259
5800 17109621 553507 844811 1263631
5900 17508950 567390 867039 1332005
6000 16385864 513992 790120 1181504
6100 17060342 537959 806931 1208386
6200 18216476 554305 866629 1296466
6300 17966887 544908 842053 1271174
6400 19474169 579857 893101 1360186
6500 19992268 596789 898514 1341588
6600 21649249 632802 955830 1442287
6700 20422916 581960 885474 1369387
6800 22413054 625385 957738 1457633
6900 24444875 686901 1040100 1565719
7000 27776928 744219 1190562 1739790
7100 30053570 828081 1265423 1911413
7200 25829725 702202 1047486 1635158
7300 25009242 659534 1001276 1528879
7400 28830399 771268 1176834 1754066
7500 29109159 750759 1166545 1754955
7600 27526878 701107 1073445 1641247
7700 26858338 678234 1039058 1580592
7800 28975399 725229 1117452 1673199
7900 29125869 732745 1111059 1690575
8000 28785791 715807 1065044 1614593
8100 30660021 743462 1125469 1718493
8200 31187763 749540 1123370 1699975
8300 31004253 738986 1106513 1660919
8400 32658658 760977 1178538 1774692
8500 33451457 782362 1193576 1791270
8600 34527514 789632 1227886 1831098
8700 34081096 767780 1166113 1815969
8800 35732508 797365 1211576 1846162
8900 36606593 820068 1242306 1872396
9000 37500259 818244 1240034 1871878
9100 38257073 829793 1263936 1909209
9200 39010973 849545 1296647 1971938
9300 38943238 841740 1276728 1879283
9400 41190832 857549 1296703 1959109
9500 41621936 872675 1330810 2022864
9600 42522721 871591 1335985 2003060
9700 43619099 887002 1354601 2065672
9800 44593286 901741 1373487 2089653
9900 47006636 968811 1457738 2181885
