size insertionsort  quicksort  mergesort heapsort hybrid
5 273 335 860 526 243
10 750 1163 2416 1890 558
15 857 1217 2609 2202 557
20 1003 1695 2685 2505 787
25 893 1145 2213 1953 701
30 1028 1304 2433 2425 929
35 1190 1490 2826 2769 1141
40 1632 2024 3933 3745 1581
45 2159 2499 4775 4740 2079
50 2641 2917 5679 5704 2621
55 2747 2860 5292 5142 2689
60 2866 2878 5441 5295 2827
65 4042 3993 7099 7088 3680
70 3431 3221 5936 6427 2929
75 4797 4431 7977 8540 3911
80 4479 4019 7198 7639 3547
85 5825 5236 8971 9439 4467
90 5387 4489 8010 9263 4338
95 5710 4515 8595 9352 4320
